t_date,t_state_code,t_site_code,not,vot
01-01-2022,ANI,ANI,1,982536
01-01-2022,ASM,ASM,9,122725874
01-01-2022,BHEL,BHEL,8,800000
01-01-2022,CIL,CIL,28,24614334
01-01-2022,DEFPSU,DEFPSU,4,8561770
01-01-2022,DEL,DEL,28,220101881
01-01-2022,EPROCURE,EPROCURE,41,481438355
01-01-2022,EPROCURE,ETENDER,33,572198136
01-01-2022,EPROCURE,MOD,171,481575292
01-01-2022,GOA,GOA,7,8626267
01-01-2022,HP,HP,45,418437243
01-01-2022,HRY,HRY,11,113809512
01-01-2022,IOCL,IOCL,8,2639157346
01-01-2022,JHR,JHR,19,335007989
01-01-2022,JNK,JNK,392,1541168418
01-01-2022,KER,KER,317,1146962703
01-01-2022,LDK,LDK,4,450000
01-01-2022,MAH,MAH,223,833252418
01-01-2022,MAN,MAN,11,171437219
01-01-2022,MP,MP,133,1506820187
01-01-2022,NTPC,NTPC,29,2589000
01-01-2022,ODI,ODI,213,3225374415
01-01-2022,PB,PB,171,253041120
01-01-2022,PMGSY,PMGSY,6,115803361
01-01-2022,RAJ,RAJ,125,1483323714
01-01-2022,TN,TN,35,1796402000
01-01-2022,TRP,TRP,11,77989191
01-01-2022,UK,UK,68,759579115
01-01-2022,UP,UP,1428,7550003940
01-01-2022,UTL,UTL,2,0
01-01-2022,WB,WB,76,359915054
02-01-2022,CIL,CIL,27,26780790
02-01-2022,EPROCURE,EPROCURE,4,16147046
02-01-2022,EPROCURE,ETENDER,1,1899000
02-01-2022,EPROCURE,MOD,17,74370381
02-01-2022,GOA,GOA,17,32372573
02-01-2022,HP,HP,1,55609285
02-01-2022,HRY,HRY,103,479300700
02-01-2022,IOCL,IOCL,2,0
02-01-2022,JHR,JHR,14,297916516
02-01-2022,JNK,JNK,271,206841543
02-01-2022,KER,KER,144,281907542
02-01-2022,MAH,MAH,138,954434410
02-01-2022,MAN,MAN,3,66265397
02-01-2022,MP,MP,147,1030735862
02-01-2022,ODI,ODI,53,1086000206
02-01-2022,PB,PB,71,116004741
02-01-2022,RAJ,RAJ,94,538216500
02-01-2022,TN,TN,80,643725000
02-01-2022,UK,UK,25,80566978
02-01-2022,UP,UP,811,3304223963
02-01-2022,WB,WB,131,147055501
03-01-2022,ANI,ANI,9,5808284
03-01-2022,ASM,ASM,27,1552824502
03-01-2022,BHEL,BHEL,21,26401019
03-01-2022,CHD,CHD,27,116043517
03-01-2022,CIL,CIL,110,1744680776
03-01-2022,CPCL,CPCL,2,0
03-01-2022,DEFPSU,DEFPSU,3,18147001
03-01-2022,DEL,DEL,120,1465129543
03-01-2022,DND,DND,3,25390326
03-01-2022,DNH,DNH,3,1958500
03-01-2022,EPROCURE,EPROCURE,175,3203780534
03-01-2022,EPROCURE,ETENDER,86,3895963067
03-01-2022,EPROCURE,MOD,214,980896352
03-01-2022,GOA,GOA,15,491692742
03-01-2022,HP,HP,61,442233622
03-01-2022,HRY,HRY,144,717892117
03-01-2022,IOCL,IOCL,31,67366003
03-01-2022,JHR,JHR,58,1919382850
03-01-2022,JNK,JNK,206,289086786
03-01-2022,KER,KER,313,598523023
03-01-2022,LDK,LDK,10,20669000
03-01-2022,MAH,MAH,571,2792102555
03-01-2022,MAN,MAN,11,181036998
03-01-2022,MP,MP,205,3438927893
03-01-2022,NTPC,NTPC,25,1684117
03-01-2022,ODI,ODI,161,4808446530
03-01-2022,PB,PB,139,797236253
03-01-2022,PMGSY,PMGSY,2,12840457
03-01-2022,PONDY,PONDY,17,17514281
03-01-2022,RAJ,RAJ,218,2112807616
03-01-2022,TN,TN,170,8031016232
03-01-2022,TRP,TRP,41,196381863
03-01-2022,UK,UK,84,328696579
03-01-2022,UP,UP,1199,7641564254
03-01-2022,WB,WB,488,1007725432
04-01-2022,ANI,ANI,17,20390957
04-01-2022,ARN,ARN,1,9750000
04-01-2022,ASM,ASM,29,2251339765
04-01-2022,BHEL,BHEL,43,261765228
04-01-2022,CHD,CHD,48,80901442
04-01-2022,CIL,CIL,146,75244643
04-01-2022,CPCL,CPCL,4,0
04-01-2022,DEFPSU,DEFPSU,8,23100000
04-01-2022,DEL,DEL,108,350509887
04-01-2022,DND,DND,1,7568476
04-01-2022,DNH,DNH,3,20981500
04-01-2022,EPROCURE,EPROCURE,185,22420021729
04-01-2022,EPROCURE,ETENDER,147,3621159829
04-01-2022,EPROCURE,MOD,418,2763246924
04-01-2022,GOA,GOA,37,84638897
04-01-2022,HP,HP,83,179279354
04-01-2022,HRY,HRY,218,4280780268
04-01-2022,IOCL,IOCL,28,471348500
04-01-2022,JHR,JHR,27,1741588210
04-01-2022,JNK,JNK,433,800840110
04-01-2022,KER,KER,609,1431975643
04-01-2022,LDK,LDK,8,5456500
04-01-2022,MAH,MAH,616,7105359847
04-01-2022,MAN,MAN,1,16953275
04-01-2022,MP,MP,311,2637582080
04-01-2022,NTPC,NTPC,51,452968
04-01-2022,ODI,ODI,171,1597752274
04-01-2022,PB,PB,208,348518362
04-01-2022,PMGSY,PMGSY,8,589321644
04-01-2022,PONDY,PONDY,25,26761934
04-01-2022,RAJ,RAJ,211,2327635262
04-01-2022,TN,TN,205,3245578844
04-01-2022,TRP,TRP,23,36153801
04-01-2022,UK,UK,83,463048609
04-01-2022,UP,UP,1526,8950391461
04-01-2022,UTL,UTL,1,0
04-01-2022,WB,WB,302,484431569
05-01-2022,ANI,ANI,3,2322803
05-01-2022,ARN,ARN,5,105097600
05-01-2022,ASM,ASM,11,332851925
05-01-2022,BHEL,BHEL,28,86300207
05-01-2022,CHD,CHD,35,26818823
05-01-2022,CIL,CIL,122,2238934974
05-01-2022,CPCL,CPCL,1,0
05-01-2022,DEFPSU,DEFPSU,6,15263760
05-01-2022,DEL,DEL,111,1418226795
05-01-2022,DND,DND,2,0
05-01-2022,DNH,DNH,2,1943643
05-01-2022,EPROCURE,EPROCURE,197,5619661357
05-01-2022,EPROCURE,ETENDER,155,16847620508
05-01-2022,EPROCURE,MOD,244,1284120277
05-01-2022,GOA,GOA,49,647769048
05-01-2022,HP,HP,83,354655965
05-01-2022,HRY,HRY,217,1022410733
05-01-2022,IOCL,IOCL,32,266168483
05-01-2022,JHR,JHR,21,2750773234
05-01-2022,JNK,JNK,293,241103861
05-01-2022,KER,KER,442,994850635
05-01-2022,LDK,LDK,23,35110000
05-01-2022,MAH,MAH,738,18298660152
05-01-2022,MAN,MAN,4,45906539
05-01-2022,MIZ,MIZ,4,0
05-01-2022,MP,MP,249,3432442649
05-01-2022,NTPC,NTPC,41,5342170
05-01-2022,ODI,ODI,280,3013022506
05-01-2022,PB,PB,190,1076350469
05-01-2022,PMGSY,PMGSY,16,181662093
05-01-2022,PONDY,PONDY,1,544320
05-01-2022,RAJ,RAJ,247,3985121111
05-01-2022,TN,TN,176,1952081518
05-01-2022,TRP,TRP,24,100090982
05-01-2022,UK,UK,90,1843845711
05-01-2022,UP,UP,1207,10370739717
05-01-2022,UTL,UTL,2,753424
05-01-2022,WB,WB,439,5756531203
06-01-2022,ANI,ANI,16,19933343
06-01-2022,ARN,ARN,1,98116633
06-01-2022,ASM,ASM,11,1320052676
06-01-2022,BHEL,BHEL,19,28763585
06-01-2022,CHD,CHD,23,49593621
06-01-2022,CIL,CIL,80,4282776231
06-01-2022,CPCL,CPCL,2,0
06-01-2022,DEFPSU,DEFPSU,13,25223000
06-01-2022,DEL,DEL,147,889348857
06-01-2022,DNH,DNH,1,30697473
